ProductID,ProductName,ProductCategory,SupplierID,PricePerUnit,LaunchYear,StockStatus,AvgCustomerRating,PerformanceTier,PriceSentiment
P00120,ASUS TUF SSD TUF-GAMING 433,Ssd,S006,133.6,2022,In Stock,3.6,Budget,Competitive
P00098,ASUSPrime SSDZ49037,Ssd,S010,188.84,2022,Low Stock,3.9,Midrange,Competitive
P00029,ASUS Prime Graphics Card TUF-GAMING 266,Graphics Card,S019,163.45,2023,In Stock,4.0,Midrange,Competitive
P00042,ASUS TUF PSU Z490 711,Power Supply,S005,173.78,2020,In Stock,3.5,Midrange,Competitive
P00090,ASUS Motherboard B450 506,Motherboard,S020,300.84,2022,Low Stock,3.2,Midrange,Competitive
P00003,ASUS Prime Power Supply Z490 68,Power Supply,S019,231.42,2023,Out of Stock,4.2,Midrange,Competitive
P00025,ASUS Fan X 962,Fan,S007,403.59,2019,In Stock,3.6,High-End,Premium
P00062,ASUS Prime Power Supply B450 431,Power Supply,S010,207.06,2020,Out of Stock,4.2,Midrange,Competitive
P00001,ASUS Motherboard Z490 116,Motherboard,S006,172.04,2022,In Stock,3.3,Midrange,Competitive
P00015,ASUS Prime Motherboard Z490 525,Motherboard,S011,185.44,2024,In Stock,4.0,Midrange,Competitive
P00078,ASUS Power Supply Pro 328,Power Supply,S012,155.39,2018,In Stock,4.1,Midrange,Competitive
P00026,ASUS ROG PSU X 713,Power Supply,S003,234.54,2019,Out of Stock,3.1,Midrange,Competitive
P00030,ASUS Prime Motherboard B450 156,Motherboard,S019,57.37,2019,In Stock,3.7,Budget,Competitive
P00004,ASUS Prime Graphics Card X 607,Graphics Card,S004,476.13,2023,In Stock,3.3,High-End,Premium
P00049,ASUS Prime Fan Pro 397,Fan,S007,75.95,2019,In Stock,3.1,Budget,Competitive
P00097,ASUS TUF HDD RTX 4080 352,Hdd,S001,336.34,2020,In Stock,5.0,Midrange,Competitive
P00094,ASUS Prime RAM TUF-GAMING 618,Ram,S017,104.54,2022,In Stock,3.6,Budget,Competitive
P00113,ASUS TUF SSD TUF-GAMING 674,Ssd,S005,217.09,2022,In Stock,4.6,Midrange,Competitive
P00014,ASUS ROG Graphics Card Z490 646,Graphics Card,S003,439.39,2024,In Stock,3.5,High-End,Premium
P00119,ASUS ROG Case Z490 647,Case,S014,229.36,2018,In Stock,4.4,Midrange,Competitive
P00109,ASUS TUF Case Z490 152,Case,S010,285.94,2023,In Stock,4.5,Midrange,Competitive
P00006,ASUS Prime CPU Cooler RTX 4080 592,Cpu Cooler,S011,136.01,2018,In Stock,4.2,Budget,Competitive
P00037,ASUS PSU Z490 929,Power Supply,,176.1,2019,In Stock,3.9,Midrange,Competitive
P00046,ASUS TUF CPU Cooler RTX 4080 825,Cpu Cooler,S004,201.38,2024,In Stock,3.8,Midrange,Competitive
P00036,ASUS Prime Monitor TUF-GAMING 892,Monitor,S019,211.75,2018,Low Stock,3.7,Midrange,Competitive
P00108,ASUS ROG HDD TUF-GAMING 986,Hdd,S009,133.57,2020,In Stock,4.9,Budget,Competitive
P00012,ASUS Prime Power Supply RTX 4080 8,Power Supply,S008,134.54,2022,In Stock,4.7,Budget,Competitive
P00031,ASUS Prime SSD Prime Z690 746,Ssd,S018,322.34,2019,In Stock,4.9,Midrange,Competitive
P00085,ASUS Monitor Z490 122,Monitor,,193.13,2024,In Stock,3.2,Midrange,Competitive
P00082,ASUS Monitor Z490 472,Monitor,S005,287.54,2018,In Stock,4.5,Midrange,Competitive
P00022,ASUS Monitor X 940,Monitor,S014,219.54,2023,In Stock,4.9,Midrange,Competitive
P00017,ASUS ROG Graphics Card RTX 4080 79,Graphics Card,S005,,2020,In Stock,3.4,Unknown,
P00066,ASUS Case TUF-GAMING 325,Case,S015,263.47,2020,In Stock,3.1,Midrange,Competitive
P00028,ASUS Prime Graphics Card Pro 625,Graphics Card,S004,290.61,2018,In Stock,4.5,Midrange,Competitive
P00107,ASUS TUF SSD Pro 425,Ssd,S015,110.62,2022,In Stock,4.1,Budget,Competitive
P00093,ASUS Prime Fan X 239,Fan,S009,273.77,2018,In Stock,4.7,Midrange,Competitive
P00061,ASUS TUF Power Supply X 112,Power Supply,S005,105.81,2019,In Stock,3.3,Budget,Competitive
P00045,ASUS ROG Motherboard X 816,Motherboard,S016,111.51,2018,In Stock,4.6,Budget,Competitive
P00054,ASUS Prime Motherboard Pro 136,Motherboard,S003,166.71,2020,In Stock,3.4,Midrange,Competitive
P00024,ASUS Graphics Card Z490 101,Graphics Card,S012,19.78,2024,In Stock,3.3,Budget,Competitive
P00065,ASUS ROG Fan TUF-GAMING 549,Fan,S005,289.58,2018,In Stock,3.3,Midrange,Competitive
P00103,ASUS Prime SSD B450 21,Ssd,S011,92.69,2022,Low Stock,4.6,Budget,Competitive
P00079,ASUS RAM B450 299,Ram,S017,272.93,2024,In Stock,4.3,Midrange,Competitive
P00095,ASUS Prime HDD Pro 644,Hdd,,278.36,2023,In Stock,4.0,Midrange,Competitive
P00056,ASUS TUF SSD RTX 4080 34,Ssd,S020,478.86,2021,Low Stock,3.7,High-End,Premium
